strategy,metric,scale,f_stat,p_anova,sig_anova,df_between,df_within,eta_squared,effect_size,h_stat_kruskal,p_kruskal,sig_kruskal,descriptives,tukey
baseline,sentiment_deviation,ALL,0.007,0.993011,ns,2,6,0.0023,negligible,0.0672,0.966945,ns,"{'end': {'n': 3, 'mean': 0.4713, 'std': 0.28875}, 'middle': {'n': 3, 'mean': 0.44173, 'std': 0.23474}, 'top': {'n': 3, 'mean': 0.46757, 'std': 0.28817}}","[{'group1': 'end', 'group2': 'middle', 'mean_diff': -0.0296, 'p_adj': 0.9935, 'lower_ci': -0.8633, 'upper_ci': 0.8042, 'reject': False}, {'group1': 'end', 'group2': 'top', 'mean_diff': -0.0037, 'p_adj': 0.9999, 'lower_ci': -0.8375, 'upper_ci': 0.83, 'reject': False}, {'group1': 'middle', 'group2': 'top', 'mean_diff': 0.0258, 'p_adj': 0.995, 'lower_ci': -0.8079, 'upper_ci': 0.8596, 'reject': False}]"
baseline,sentiment_deviation,1,0.007,0.993011,ns,2,6,0.0023,negligible,0.0672,0.966945,ns,"{'end': {'n': 3, 'mean': 0.4713, 'std': 0.28875}, 'middle': {'n': 3, 'mean': 0.44173, 'std': 0.23474}, 'top': {'n': 3, 'mean': 0.46757, 'std': 0.28817}}","[{'group1': 'end', 'group2': 'middle', 'mean_diff': -0.0296, 'p_adj': 0.9935, 'lower_ci': -0.8633, 'upper_ci': 0.8042, 'reject': False}, {'group1': 'end', 'group2': 'top', 'mean_diff': -0.0037, 'p_adj': 0.9999, 'lower_ci': -0.8375, 'upper_ci': 0.83, 'reject': False}, {'group1': 'middle', 'group2': 'top', 'mean_diff': 0.0258, 'p_adj': 0.995, 'lower_ci': -0.8079, 'upper_ci': 0.8596, 'reject': False}]"
baseline,negative_review_cosine_similarity,ALL,0.0559,0.946148,ns,2,6,0.0183,small,0.8739,0.645988,ns,"{'end': {'n': 3, 'mean': 0.19863, 'std': 0.07615}, 'middle': {'n': 3, 'mean': 0.17997, 'std': 0.11608}, 'top': {'n': 3, 'mean': 0.1651, 'std': 0.1051}}","[{'group1': 'end', 'group2': 'middle', 'mean_diff': -0.0187, 'p_adj': 0.9812, 'lower_ci': -0.3271, 'upper_ci': 0.2898, 'reject': False}, {'group1': 'end', 'group2': 'top', 'mean_diff': -0.0335, 'p_adj': 0.9411, 'lower_ci': -0.342, 'upper_ci': 0.2749, 'reject': False}, {'group1': 'middle', 'group2': 'top', 'mean_diff': -0.0149, 'p_adj': 0.988, 'lower_ci': -0.3233, 'upper_ci': 0.2936, 'reject': False}]"
baseline,negative_review_cosine_similarity,1,0.0559,0.946148,ns,2,6,0.0183,small,0.8739,0.645988,ns,"{'end': {'n': 3, 'mean': 0.19863, 'std': 0.07615}, 'middle': {'n': 3, 'mean': 0.17997, 'std': 0.11608}, 'top': {'n': 3, 'mean': 0.1651, 'std': 0.1051}}","[{'group1': 'end', 'group2': 'middle', 'mean_diff': -0.0187, 'p_adj': 0.9812, 'lower_ci': -0.3271, 'upper_ci': 0.2898, 'reject': False}, {'group1': 'end', 'group2': 'top', 'mean_diff': -0.0335, 'p_adj': 0.9411, 'lower_ci': -0.342, 'upper_ci': 0.2749, 'reject': False}, {'group1': 'middle', 'group2': 'top', 'mean_diff': -0.0149, 'p_adj': 0.988, 'lower_ci': -0.3233, 'upper_ci': 0.2936, 'reject': False}]"
baseline,geval_score,ALL,4.0,0.078717,ns,2,6,0.5714,large,4.5714,0.101701,ns,"{'end': {'n': 3, 'mean': 4.66667, 'std': 0.4714}, 'middle': {'n': 3, 'mean': 4.0, 'std': 0.0}, 'top': {'n': 3, 'mean': 4.0, 'std': 0.0}}","[{'group1': 'end', 'group2': 'middle', 'mean_diff': -0.6667, 'p_adj': 0.1089, 'lower_ci': -1.5017, 'upper_ci': 0.1684, 'reject': False}, {'group1': 'end', 'group2': 'top', 'mean_diff': -0.6667, 'p_adj': 0.1089, 'lower_ci': -1.5017, 'upper_ci': 0.1684, 'reject': False}, {'group1': 'middle', 'group2': 'top', 'mean_diff': 0.0, 'p_adj': 1.0, 'lower_ci': -0.8351, 'upper_ci': 0.8351, 'reject': False}]"
baseline,geval_score,1,4.0,0.078717,ns,2,6,0.5714,large,4.5714,0.101701,ns,"{'end': {'n': 3, 'mean': 4.66667, 'std': 0.4714}, 'middle': {'n': 3, 'mean': 4.0, 'std': 0.0}, 'top': {'n': 3, 'mean': 4.0, 'std': 0.0}}","[{'group1': 'end', 'group2': 'middle', 'mean_diff': -0.6667, 'p_adj': 0.1089, 'lower_ci': -1.5017, 'upper_ci': 0.1684, 'reject': False}, {'group1': 'end', 'group2': 'top', 'mean_diff': -0.6667, 'p_adj': 0.1089, 'lower_ci': -1.5017, 'upper_ci': 0.1684, 'reject': False}, {'group1': 'middle', 'group2': 'top', 'mean_diff': 0.0, 'p_adj': 1.0, 'lower_ci': -0.8351, 'upper_ci': 0.8351, 'reject': False}]"
cot,sentiment_deviation,ALL,0.1811,0.838719,ns,2,6,0.0569,small,1.098,0.577516,ns,"{'end': {'n': 3, 'mean': 0.3158, 'std': 0.34471}, 'middle': {'n': 3, 'mean': 0.4863, 'std': 0.30301}, 'top': {'n': 3, 'mean': 0.4124, 'std': 0.17751}}","[{'group1': 'end', 'group2': 'middle', 'mean_diff': 0.1705, 'p_adj': 0.8252, 'lower_ci': -0.7012, 'upper_ci': 1.0422, 'reject': False}, {'group1': 'end', 'group2': 'top', 'mean_diff': 0.0966, 'p_adj': 0.9389, 'lower_ci': -0.7751, 'upper_ci': 0.9683, 'reject': False}, {'group1': 'middle', 'group2': 'top', 'mean_diff': -0.0739, 'p_adj': 0.9636, 'lower_ci': -0.9456, 'upper_ci': 0.7978, 'reject': False}]"
cot,sentiment_deviation,1,0.1811,0.838719,ns,2,6,0.0569,small,1.098,0.577516,ns,"{'end': {'n': 3, 'mean': 0.3158, 'std': 0.34471}, 'middle': {'n': 3, 'mean': 0.4863, 'std': 0.30301}, 'top': {'n': 3, 'mean': 0.4124, 'std': 0.17751}}","[{'group1': 'end', 'group2': 'middle', 'mean_diff': 0.1705, 'p_adj': 0.8252, 'lower_ci': -0.7012, 'upper_ci': 1.0422, 'reject': False}, {'group1': 'end', 'group2': 'top', 'mean_diff': 0.0966, 'p_adj': 0.9389, 'lower_ci': -0.7751, 'upper_ci': 0.9683, 'reject': False}, {'group1': 'middle', 'group2': 'top', 'mean_diff': -0.0739, 'p_adj': 0.9636, 'lower_ci': -0.9456, 'upper_ci': 0.7978, 'reject': False}]"
cot,negative_review_cosine_similarity,ALL,0.0051,0.994937,ns,2,6,0.0017,negligible,0.0672,0.966945,ns,"{'end': {'n': 3, 'mean': 0.1955, 'std': 0.13421}, 'middle': {'n': 3, 'mean': 0.18353, 'std': 0.11099}, 'top': {'n': 3, 'mean': 0.1883, 'std': 0.11196}}","[{'group1': 'end', 'group2': 'middle', 'mean_diff': -0.012, 'p_adj': 0.9945, 'lower_ci': -0.3787, 'upper_ci': 0.3548, 'reject': False}, {'group1': 'end', 'group2': 'top', 'mean_diff': -0.0072, 'p_adj': 0.998, 'lower_ci': -0.374, 'upper_ci': 0.3596, 'reject': False}, {'group1': 'middle', 'group2': 'top', 'mean_diff': 0.0048, 'p_adj': 0.9991, 'lower_ci': -0.362, 'upper_ci': 0.3715, 'reject': False}]"
cot,negative_review_cosine_similarity,1,0.0051,0.994937,ns,2,6,0.0017,negligible,0.0672,0.966945,ns,"{'end': {'n': 3, 'mean': 0.1955, 'std': 0.13421}, 'middle': {'n': 3, 'mean': 0.18353, 'std': 0.11099}, 'top': {'n': 3, 'mean': 0.1883, 'std': 0.11196}}","[{'group1': 'end', 'group2': 'middle', 'mean_diff': -0.012, 'p_adj': 0.9945, 'lower_ci': -0.3787, 'upper_ci': 0.3548, 'reject': False}, {'group1': 'end', 'group2': 'top', 'mean_diff': -0.0072, 'p_adj': 0.998, 'lower_ci': -0.374, 'upper_ci': 0.3596, 'reject': False}, {'group1': 'middle', 'group2': 'top', 'mean_diff': 0.0048, 'p_adj': 0.9991, 'lower_ci': -0.362, 'upper_ci': 0.3715, 'reject': False}]"
